Surt,capture_time,url,mime,status,digest,length,offset,filename,month,year
"co,gulf365)/lifestyle/5689137/%d8%a3%d8%b1%d9%8a%d8%a7%d9%86%d8%a7-%d8%ba%d8%b1%d8%a7%d9%86%d8%af%d9%8a-%d8%aa%d8%aa%d8%a3%d9%84%d9%91%d9%8e%d9%82-%d9%81%d9%8a-%d8%ad%d9%85%d9%84%d8%aa%d9%87%d8%a7-%d8%a7%d9%84%d8%a3%d9%88%d9%84%d9%89-%d9%85%d8%b9-%d8%ac%d9%8a%d9%81%d9%86%d8%b4%d9%8a.html",20190811074411,https://gulf365.co/lifestyle/5689137/%D8%A3%D8%B1%D9%8A%D8%A7%D9%86%D8%A7-%D8%BA%D8%B1%D8%A7%D9%86%D8%AF%D9%8A-%D8%AA%D8%AA%D8%A3%D9%84%D9%91%D9%8E%D9%82-%D9%81%D9%8A-%D8%AD%D9%85%D9%84%D8%AA%D9%87%D8%A7-%D8%A7%D9%84%D8%A3%D9%88%D9%84%D9%89-%D9%85%D8%B9-%D8%AC%D9%8A%D9%81%D9%86%D8%B4%D9%8A.html,text/html,200,sha1:CX57C3CLSEOS3SETUMGDZY2QEG67LSVX,24490,180269601,CC-NEWS-20190811071053-00848.warc.gz,08,2019
"com,haberler)/kayyum-baskanlar-43-kadin-merkezin-faaliyetini-9482891-haberi",20170410132710,http://www.haberler.com/kayyum-baskanlar-43-kadin-merkezin-faaliyetini-9482891-haberi/,text/html,200,sha1:SQM73RQEZ6RWUPVRVHDZNFJTF2GZVPE2,20871,739602075,CC-NEWS-20170410101123-00284.warc.gz,04,2017
"com,india)/hindi-news/india-hindi/bengaluru-coronavirus-news-472-children-below-10-years-infected-with-covid-within-a-month-4542386",20210328145557,https://www.india.com/hindi-news/india-hindi/bengaluru-coronavirus-news-472-children-below-10-years-infected-with-covid-within-a-month-4542386/,text/html,200,sha1:64MKJV4N5EWX7JHESH5KP7IQJ5RTUJ5L,30005,1068246679,CC-NEWS-20210328131541-00960.warc.gz,03,2021
"cz,denik,rokycansky)/zpravy_region/muzeum-na-demarkacni-linii-otevre-v-pondeli-20170428.html",20170428103116,http://rokycansky.denik.cz/zpravy_region/muzeum-na-demarkacni-linii-otevre-v-pondeli-20170428.html,text/html,200,sha1:RAEWJ3WP7KVCVGM5KZJMNPB3UJZ7MILC,17121,616145413,CC-NEWS-20170428075813-00361.warc.gz,04,2017
"com,marketscreener)/news/latest/persado-announces-the-expansion-of-its-go-to-market-efforts-to-the-u-s-federal-government--32396803?utm_content=20210209&utm_medium=rss",20210209141332,https://www.marketscreener.com/news/latest/Persado-Announces-the-Expansion-of-Its-Go-to-Market-Efforts-to-the-U-S-Federal-Government--32396803/?utm_medium=RSS&utm_content=20210209,text/html,200,sha1:XCVVKY5QDHMSRXTZHQHRAAXVGIUKPA6V,28508,361541283,CC-NEWS-20210209135445-00137.warc.gz,02,2021
"com,reviewindependent)/uncategorized/1206442/mri-system-market-worth-9497-million-by-2025-exclusive-report-by-researchmoz",20210212184304,https://reviewindependent.com/uncategorized/1206442/mri-system-market-worth-9497-million-by-2025-exclusive-report-by-researchmoz/,text/html,200,sha1:LYQSS5OOU6Q5VU7KF4XA2O54CSFI6M5A,14906,73914412,CC-NEWS-20210212183858-00203.warc.gz,02,2021
"com,bizjournals)/tampabay/news/2019/08/12/exclusive-leadership-tampas-2020-class-of-50.html",20190812151903,https://www.bizjournals.com/tampabay/news/2019/08/12/exclusive-leadership-tampas-2020-class-of-50.html,text/html,200,sha1:7X7F4R5F57IZKFLH3GCCSHYQRXL5F7FD,1103,134679777,CC-NEWS-20190812150556-00860.warc.gz,08,2019
"ru,prizyv)/2020/11/medikov-iz-pyatoj-bolnitsy-pereselili-v-okb",20201109112151,https://www.prizyv.ru/2020/11/medikov-iz-pyatoj-bolnitsy-pereselili-v-okb/,text/html,200,sha1:4ARELJV4EPZMMWL4TLX6MCHG5AEBNYGY,16802,217917594,CC-NEWS-20201109110738-00590.warc.gz,11,2020
"com,3yonnews)/879466",20170409095707,http://www.3yonnews.com/879466,text/html,200,sha1:VPDBE7T32JXEXTSI766L67HZFFK3RO5I,10996,335510033,CC-NEWS-20170409075050-00280.warc.gz,04,2017
"hr,n1info,sportklub)/kosarka/lakersi-se-spasili-metle-i-konacno-porazili-denver-boston-lagano-u-miamiju",20240428075647,https://sportklub.n1info.hr/kosarka/lakersi-se-spasili-metle-i-konacno-porazili-denver-boston-lagano-u-miamiju/,text/html,200,sha1:OFTCRCLZLHZG4VHGUUGFA5KH64C6EC62,35238,660870565,CC-NEWS-20240428070130-03737.warc.gz,04,2024
"com,chron)/news/article/phoenix-to-hold-active-shooter-training-exercise-14376034.php",20190824201641,https://www.chron.com/news/article/Phoenix-to-hold-active-shooter-training-exercise-14376034.php,text/html,200,sha1:XQFBMC5VIAMKUSM7PCXQAGZAMS4NZR45,26570,732136656,CC-NEWS-20190824182518-00989.warc.gz,08,2019
"pe,elcomercio,mag)/fama/el-senor-de-los-cielos-luz-elena-gonzalez-confeso-que-bajo-10-kilos-tras-acabar-con-rafael-amaya-mexico-mx-estados-unidos-usa-eeuu-nnda-nnlt-noticia",20201105184823,https://mag.elcomercio.pe/fama/el-senor-de-los-cielos-luz-elena-gonzalez-confeso-que-bajo-10-kilos-tras-acabar-con-rafael-amaya-mexico-mx-estados-unidos-usa-eeuu-nnda-nnlt-noticia/,text/html,200,sha1:GITS3NZNWL2Y26SJY2LVMAWSQIMRI6OV,28680,499399844,CC-NEWS-20201105181848-00536.warc.gz,11,2020
"no,folkebladet)/video/i/8jb1dq/direkte-folkeliv-under-summit-2-senja",20240408213004,https://www.folkebladet.no/video/i/8Jb1dQ/direkte-folkeliv-under-summit-2-senja,text/html,200,sha1:OXSYIE2H4UHD6TJICHDRY4AZHRETY7S6,21395,373219596,CC-NEWS-20240408210317-03371.warc.gz,04,2024
"uk,co,thesun)/news/22800360/urgent-warning-dracula-horsefiles-tear-flesh-immune-repellents",20230624165718,https://www.thesun.co.uk/news/22800360/urgent-warning-dracula-horsefiles-tear-flesh-immune-repellents/,text/html,200,sha1:Y7KHNLMYZ4FYKECB47DAYD5QNUUBHJRL,125955,584423711,CC-NEWS-20230624161802-03543.warc.gz,06,2023
"com,theguardian)/fashion/2017/apr/21/ryan-gosling-look-dress-like-him",20170421083024,https://www.theguardian.com/fashion/2017/apr/21/ryan-gosling-look-dress-like-him,text/html,200,sha1:2AXKLS7E6FN34OMGYDFF4PJ7UWNMVYOG,95550,89885711,CC-NEWS-20170421080402-00331.warc.gz,04,2017
"mx,info7)/nuevoleon/conoce-a-los-masajistas-del-centro-de-monterrey/vl1487819/amp",20230604222224,https://www.info7.mx/nuevoleon/conoce-a-los-masajistas-del-centro-de-monterrey/vl1487819/amp,text/html,200,sha1:2CIYVCO6Q7LW4QOGNUGGGWHY4T46254O,8721,1040393670,CC-NEWS-20230604204439-03087.warc.gz,06,2023
"ro,fanatik)/xavi-l-a-desfiintat-pe-istvan-kovacs-dupa-prestatia-din-barcelona-psg-i-am-spus-ca-a-fost-un-dezastru-20665802",20240416221057,https://www.fanatik.ro/xavi-l-a-desfiintat-pe-istvan-kovacs-dupa-prestatia-din-barcelona-psg-i-am-spus-ca-a-fost-un-dezastru-20665802,text/html,200,sha1:RXZADL27MXWNP55EL4GGZR6DNRSC7AGS,35420,202985108,CC-NEWS-20240416215527-03522.warc.gz,04,2024
"kr,co,kbs,news)/news/view.do?ncd=7695534",20230609033715,https://news.kbs.co.kr/news/view.do?ncd=7695534,text/html,200,sha1:HQCHPDUELZ43C4PJNQ4QZDRLKK3RMGZW,26503,170509542,CC-NEWS-20230609031959-03192.warc.gz,06,2023
"com,noqreport)/2021/03/06/jeremy-london-proves-you-can-still-be-friends-and-strongly-disagree-on-politics",20210306190520,https://noqreport.com/2021/03/06/jeremy-london-proves-you-can-still-be-friends-and-strongly-disagree-on-politics/,text/html,200,sha1:2Z3GP4FAEAIFO7JNHJVETWUTJNICJKGR,34837,129735912,CC-NEWS-20210306185548-00583.warc.gz,03,2021
"se,sydsvenskan)/2020-11-04/spand-vantan-aven-i-europa",20201104093849,https://www.sydsvenskan.se/2020-11-04/spand-vantan-aven-i-europa,text/html,200,sha1:BLYY4U6D4ZCNISYKZQPR5KDVKJP24A3I,20286,1071121688,CC-NEWS-20201104082851-00507.warc.gz,11,2020
